college,title,description
CFA,CFA AR 121: Foundation Sculpture,"In this course, the students explore extensively the fundamentals of 3D design and construction while cultivating the capacity for visual and critical thinking. The students investigate the structural, compositional and conceptual roles of basic materials. A variety of techniques are used to articulate projects in three dimensions and to address fundamental ideas and issues that define the role of art and design in the community and the society we inhabit. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, The Individual in Community, Creativity/Innovation."
CFA,"CFA AR 123: Foundation Design: Introductory Principles, Practices","This course introduces the basic principles of design, composition, and form making. We will investigate these principles holistically, beginning with their historical origination, spanning to contemporary usage, and finally in the context of your own visual arts practice. Digital and multimedia tools are introduced, and students will select the most appropriate tools for the specific design expression. Projects and class meetings will be structured to help you develop a design process and critique skills. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Digital/Multimedia Expression."
CFA,CFA AR 131: Drawing 1,"AR 131 Drawing One is a four-credit studio course that is part of a year- long foundations course (with AR 132) designed to equip students with the formal elements of the language of drawing, and the ability to make independent critical decisions about their creative work and the works of others. Students will work observationally from still-lifes, the landscape, and the figure using line, shape, and tone as a way to study perception, composition, light, and space. Effective Spring 2021, this course fulfills a single unit in the following BU Hub area: Creativity/Innovation."
CFA,CFA AR 132: Drawing One: Drawing as Visual Language,"Undergraduate Prerequisites: CFA AR131 - AR 132 Drawing One is a four-credit studio course designed to equip students with the formal elements of the language of drawing, and the ability to make independent critical decisions about their creative work and the works of others. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Oral and/or Signed Communication."
CFA,CFA AR 141: Foundation Painting,"This studio course emphasizes 2-d composition and direct painting in oil. Exercises in representing still life, interior, and portrait introduce basic principles of drawing, composition, and color interaction. Working with specific limited color palettes acquaints the student with systems of color proportion and their role in creating a believable pictorial space and color light. Exercises in color mixing, preparing supports, and caring for tools and equipment, introduce technical and craft considerations. Individual and group critiques, slide presentations, and occasional assigned readings complement regular studio class meetings. 4.0 Credits"
CFA,CFA AR 192: Introduction to Drawing,"An introductory class for non-majors to explore drawing based on analysis and observation. Study of perception and measuring techniques to create proportion and perspective. Use of line, shape and value in the context of visual description of still life, figure and interior. Dry, wet media and collage. No experience required. 2cr"
CFA,CFA AR 193: Visual Arts Drawing,"An introductory class for non-majors to explore drawing based on analysis and observation. Study of perception and measuring techniques to create proportion and perspective. Use of line, shape and value in the context of visual description of still life, figure and interior. Dry, wet media and collage. Not applicable to BFA degree 4.0 Credits. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Creativity/Innovation."
CFA,CFA AR 194: Mixed Media Drawing and Collage,"In this entry level studio based class we will work together to learn various techniques and approaches to the art of mixed media drawing and collage. Through the making of a portfolio of work that will bridge basic drawing skills with mixed media projects in representation and abstraction, we will investigate how the ways of seeing and making have intersected with History, Culture, Belief and Identity during the 20th and 21st centuries. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Historical Consciousness, Creativity/Innovation."
CFA,CFA AR 221: Materials and Methods in Sculpture,"This course is designed to significantly enhance students' familiarity with and technical proficiency within a broad range of material processes. Each student will construct a single large-scale sculpture and will develop collaborative strategies to address the significant ergonomic, structural, and design-based challenges that arise as a result of ""working big."" Effective Fall 2022, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration."
CFA,CFA AR 223: Installation Art: Subject-Object Relationship in the Contemporary Landscape,"This class investigates the fundamental elements of spatial-temporal relationships in Installation Art. We will explore how new media and the three-dimensional language of the contemporary world shifts the subject-object relationship instilled in sculpture since the 1960's. This intermediate, portfolio-building class involves completion of one body of work with the objective of expanding and advancing students' already existing methodologies, technical skills, vocabulary and critiquing abilities. This is a non-medium-specific studio class, which includes video as a medium: student will learn the technical, historical and conceptual implications of mixed-media art production and understand these within a broad context of contemporary art. 4cr"
CFA,CFA AR 224: New Genres in Sculpture,"This course investigates the language of Contemporary Sculpture and Installation Art from the perspective of new genres such as film, video and performance art. We will explore the ways in which these genres play an influential role in contemporary art production with a specific focus on the spatial-temporal relationship. This is a non-medium specific, portfolio- building, studio class with the objective of expanding and advancing students' already existing 3D language, methodologies, technical skills, and critiquing abilities. Students will learn the formal, historical and conceptual implications of mixed-media art production and understand these within a broad context of contemporary art. This class is divided into three parts: studio time with one-on-one meetings with the instructor; video editing and technical workshops; and mini-lectures and screenings. 4cr Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Aesthetic Exploration, Digital/Multimedia Expression, Critical Thinking."
CFA,"CFA AR 225: Sophomore Graphic Design Fall: Form-Making, Communication","Sophomore graphic design focuses on form making and conceptual problem solving. Image Making techniques will be explored and integrated into graphic design contexts. Conceptual problem solving will be examined according to how forms suggest meaning. A student is expected to build upon the skills developed during foundation year to generate innovative and inventive form in both analog and digital formats. Static and dynamic design solutions will be explored. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Aesthetic Exploration, Digital/Multimedia Expression."
