college,title,description
ENG,ENG BE 209: Principles of Molecular Cell Biology and Biotechnology,"Undergraduate Prerequisites: high school biology and CAS CH 101 or equivalent - Introduction to the molecular, physical and computational principles of cell function in the context of cutting-edge applications in bioengineering and medicine. Biological concepts include: molecular building blocks, energetics, transport, metabolism, nucleic acids, gene expression and genetics. Applications include bioenergy, synthetic biology, the human-genome project, and gene circuit engineering. The objectives of the labs are to teach basic techniques and instrumentation in bioengineering, to collect and analyze data and to make sound conclusions. Labs emphasize the experimental, problem solving, and analytical skills required in biomedical engineering and research."
ENG,ENG BE 400: Undergraduate Special Topics in Biomedical Engineering,"Globally more than a 100 million people are forcibly displaced from their homes due to conflict, climate change and persecution. Health challenges faced by these displaced persons are complex and multi-faceted. This course will focus on understanding the health challenges of forcibly displaced persons, identifying why existing solutions may not work, and designing robust, effective and context appropriate solutions for these settings."
ENG,ENG BE 403: Biomedical Signals and Controls,"Undergraduate Prerequisites: (CASMA226 & ENGEK307) Junior standing in BME - Signals, systems, and feedback control with an emphasis on biomedical problems, including linear time invariant systems in continuous and discrete time. Laplace and Fourier representations, transfer functions, pole-zero analysis, stability, convolution, sampling. Analytical and computational methods. Cannot be taken for credit in addition to ENG EC 401."
ENG,ENG BE 404: Modern Control in Biomedical Engineering,"Undergraduate Prerequisites: ENG BE 403 and Junior standing in BME - Mathematical analysis of feedback control systems. Frequency domain methods including transfer functions, stability, root locus, frequency response. Controller design. State space approaches. Emphasis on models of biological and biomedical systems. Controllability, observability. Emphasis on models of biological and biomedical systems. Cannot be taken for credit in addition to ENG ME 403, ENG ME 404, or ENG EC 402."
ENG,ENG BE 420: Introduction to Solid Biomechanics,"Undergraduate Prerequisites: (ENGEK301 & CASMA226 & ENGEK103) - Many vital physiological functions including locomotion,respiration, circulation,and mechanotransduction are mechanical in nature and are linked to forces and deformation. Mechanics is also critical for development of medical devices and instruments. The main goal of this course is to acquaint students with concepts of stress,strain,constitutive laws and their applications to biomechanics of cells and tissues. The focus will be on theoretical developments. The first part of the course is focused on problems of mechanics of deformable solids including extension,bending,buckling and torsion of beams, as well as the concept of cellular tensegrity. The second, and the greater part of the course is focused on the basic concepts of the theory of elasticity. Topics include: vector and tensor algebra and calculus, kinematics of deformation, stress analysis, constitutive equations. In addition to the linear (Hookean)elasticity, non-linear elasticity is also presented to describe mechanical behavior of biological tissues and cells. The last chapter is devoted to basic concepts of linear viscoelasticity, including stress relaxation, creep and hysteresis. Illustrative examples from tissue and cell biomechanics will be given where appropriate. The course will prepare students for advanced courses in traditional fields of solid mechanics (e.g., plasticity and poroelasticity),finite element analysis,as well as emerging fields (e.g., mechanobiology and nanotechnology). Design elements will be included in projects."
ENG,ENG BE 425: Introduction to Biomedical Materials Science,"Undergraduate Prerequisites: (CASCH102 & CASPY211 & ENGEK301) - Introductory course in materials science principles for biomedical engineers that investigates how molecular and structural features of materials determine their functional properties as well as important considerations for design and manufacture of materials for medical and biological applications. Biomedical material science topics covered in this course include: atomic structure and bonding in materials; bandy theory of solids; crystal structures and crystalline materials; mechanical properties of materials-static, dynamic and failure modes; defects in materials; dislocations and strengthening of materials; phase diagrams; kinetics of material transformations, metals manufacturing; ceramics -- structure, properties and manufacturing; polymers- synthesis, properties, manufacturing and rapid prototyping; and advanced biomedical relevant topics such as corrosion, tribology, biodegradation and biomaterial standards. Cannot be taken for credit in addition to ENG ME 306."
ENG,ENG BE 428: Device Diagnostics and Design,"Undergraduate Prerequisites: (ENGEK210) Junior standing - * BE 428 is a project-based course developing fundamentals of the design aspects of biomedical devices and diagnostics. Students will identify design needs, evaluate possible solutions, build prototypes and analyze failure modes and their effects. At every stage of the design process, teams receive feedback. The course is designed for undergraduates in their Junior and Senior years and satisfies a course elective requirement for the Technology Innovation concentration. Case studies of biomedical device designs and hands-on prototyping sessions are used  throughout the course. The course is designed to encourage students to consider the broader social contexts of engineering and design."
ENG,ENG BE 435: Transport Phenomena in Living Systems,"Undergraduate Prerequisites: (CASMA226 & CASPY211) - Biological systems operate at multiple length scales and all scales depend on internal and external transport of molecules, ions, fluids and heat. This course is designed to introduce the fundamentals of biological transport and to apply these fundamentals in understanding physiological processes involving fluid, mass and heat transfer. Students will learn the fundamental conservation principles and constitutive laws that govern heat, mass and momentum transport processes and systems as well as the constitutive properties that are encountered in typical biological problems. Transport is also critical to the development and proper functioning of biological and medical instruments and devices, which will also be discussed. Biomedical examples will include applications in development of the heart-lung machine, estimation of time of death in postmortem cases, burn injuries through hot water, respiratory flow in smokers lungs, etc."
ENG,ENG BE 436: Fundamentals of Fluid Mechanics,"Undergraduate Prerequisites: (CASMA226 & ENGEK301) - Fluid mechanics is a discipline that studies motion of gasses and liquids and forces that act on them. A sub discipline of fluid mechanics is biofluid mechanics which is the study of a certain class of biological problems from a fluid mechanics point of view. For example, it helps us to understand blood flow within the cardiovascular system, airflow within the airways of lungs, removal of waste products via the kidneys and urinary system and operation of artificial pumps and microfluidic devices. In this course, the focus will be on the theoretical developments and basic foundations of fluid mechanics using the mathematical framework of vectors and tensors. Topics include: conservation of mass, momentum, and energy in static and moving fluids; constitutive relations for Newtonian and non- Newtonian fluids; viscous flows, with application to microfluidics, flow in porous materials, lubrication, and other areas of biomedical interest; scaling analysis; inertial effects, including boundary layers and unsteady flows. The course will prepare students for advanced courses in fluid mechanics (boundary layer theory, turbulent flow, non-Newtonian fluids, aerodynamics), as well as emerging fields (computational fluid mechanics, microfluidics). Cannot be taken for credit in addition to ENG ME 303."
ENG,ENG BE 437: Nanometer Scale Processes in Living Systems,"Undergraduate Prerequisites: (CASMA226 & CASPY211 & ENGEK381) and CAS CH101 or CAS CH131 - The world at the nanometer-scale is full of dynamic phenomena that are vastly different than those encountered at the macro scale. Biological processes that are of particular contemporary interest, such as cell differentiation, are stimulated by the activity and interaction of biomolecules at the nanoscale. Thus, an understanding of the physics and engineering in such systems is a vital component toward overcoming an immense array of challenging problems in the biological and medical sciences. This course focuses on a conceptual and mechanistic understanding of technologies that permit the study of events at the nanometer scale, including scanning probe microscopes (including AFM) and optical methods such as fluorescence microscopy and related techniques (including single particle tracking, and microrheology)."
ENG,ENG BE 451: Directed Study in Biomedical Engineering,Individual study of a topic in biomedical engineering not covered in a regularly scheduled course. A faculty member must agree to supervise the study before registration. Term paper and/or written examination.
ENG,ENG BE 452: Undergraduate Research in BME,"Undergraduate Prerequisites: None - Independent research investigation of a biomedical topic. A faculty member in the BME department must agree to supervise the research topic prior to registration, and the supervisor must agree to the level of student commitment for the determination of the credits to be awarded. A term paper must be written at the end of the semester that summarizes the completed research. Variable credits. Pass/Fail"
ENG,ENG BE 465: Biomedical Engineering Senior Project,"Undergraduate Prerequisites: ENG BE 403 AND ENG BE 493. Limited to biomedical engineering major s with senior standing. CAS WR15X required. - Selection of project and project supervisor must be approved by course instructor. Project is in an area of biomedical engineering, such as biomedical instrumentation, biosensors, tissue engineering, biological signal processing, biological modeling and simulation, clinical imaging or informational systems, etc. Projects will be conducted by teams of two to five students, and projects must include significant design experience. Research of background, planning and initial work on senior design project. Guidance in performing and presenting (in written and oral form) a technical project proposal. Skills in proposal writing, oral presentation techniques. Formal proposal must be approved by technical advisor. Effective FA20, this course is part of a Hub sequence with ENG BE 466."
ENG,ENG BE 466: Biomedical Engineering Senior Project,"Undergraduate Prerequisites: (ENGBE465) Limited to biomedical engineering majors with senior standing. CAS WR15X required. - Completion of project in an area of biomedical engineering. Expanded training in technical project presentation techniques. Includes writing of progress reports, abstracts, final reports. Course culminates with an oral presentation at annual Senior Project Conference. Written final report must be approved by the faculty. This course is part of a Hub sequence with ENG BE 465. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Oral and/or Signed Communication, Writing-Intensive Course, Research and Information Literacy."
