college,title,description
GMS,GMS AN 702: Neurobiology of Learning and Memory,"Graduate Prerequisites: consent of instructor - This course covers the neurobiological bases of learning and memory from the cellular to the systems level. Initial sessions cover the behavioral aspects of learning and memory--how it is operationally defined and what are the different theoretical concepts from cognitive psychology that are current. Subsequent sessions investigate the neurophysiological, neuroanatomical, and neurochemical mechanisms of memory at the cellular level and then move on to the study of systems that function at the level of the whole organism. Concentration is on studies in mammals, particularly primates. 2 cr, Spring sem."
GMS,GMS AN 704: Experimental Design and Statistical Methods,"Graduate Prerequisites: consent of instructor - This course provides a working understanding of experimental design and statistical analysis. Each class consists of lectures, examples of problems and discussion of theoretical issues underlying a particular experimental design. Both parametric and non-parametric approaches to data analysis will be explored. 2 cr, Fall sem."
GMS,GMS AN 707: Neuro Aging,"With growing awareness of an accelerating increase in the size of the elderly population, there has been increasing interest in the neuropsychology of normal aging. Similarly, since aging is a major risk factor for many dementia states, interest has also focused on the neuropsychology of age-related disorders such as Alzheimer’s disease, Parkinson’s disease and the Dementias of the frontal lobe type. This course summarizes what is known about cognitive and related changes associated with normal aging and age-related disease. Topics are divided into two major sections. The first considers the cognitive and neurobiological changes associated with normal aging; the second deals with several of the most common age related diseases. 2 cr, Spring sem."
GMS,GMS AN 708: Clinical Anatomy,"Graduate Prerequisites: Gross Anatomy - An advanced anatomy course consisting of both guided laboratory dissection and related lectures on clinical anatomy by physicians in a variety of clinical specialties. Laboratory dissections are based on actual surgical approaches; whenever possible, and the relationship between gross anatomy radiographic anatomy is continually emphasized. 2 cr, Spring sem."
GMS,GMS AN 715: Professional Skills for Students in the Biomedical Sciences,"Graduate Prerequisites: consent of instructor - This course discusses many of the professional skills and ethical issues that are part of an academic biomedical career. Some of the topics include funding mechanisms, determination of authorship, intellectual property, conflict of interest, human and animal subject protection, reviewing responsibilities and mentoring. 2 cr, Spring sem."
GMS,GMS AN 716: Developmental Cognitive Neuroscience,"Graduate Prerequisites: background in neuroscience - This course discusses the development of the nervous system and higher cognitive function through lectures by faculty engaged in research on these topics and through discussion of current primary literature. Emphasis is on primate and human brain systems involved in cognition. This course is designed to complement the Cognitive Neuroscience course offered in the Spring semester. 4 cr., Fall sem."
GMS,GMS AN 718: Methods in Neuroscience,"Graduate Prerequisites: No Pre-Req - This course will provide a general overview of major techniques and methods used in contemporary neuroscience research. Lectures (accompanied by practical demonstrations in many cases) by faculty who are experts in these approaches will provide students with the knowledge to understand methods to probe the brain from molecules to behavior. 4 cr, Spring sem."
GMS,GMS AN 719: Human Gross Anatomy,"This course serves as a graduate level anatomy education to provide students an expert level of anatomy through interactive foundational and clinically focused discussions and full dissection of human donors. 6 cr., Fall sem."
GMS,GMS AN 722: Cell Org Tissue,"Study of the basic types of tissues, followed by application to understanding the cellular organization of organs, and the anatomical basis for their function. Emphasis is on functional morphology at the light and electron microscope levels. Basic concepts in embryology and pathology are introduced where relevant. Computer-based virtual microscopy in laboratory exercises and discussions supplements companion lectures. This course is an introductory version of MS 123 Medical Histology, specially designed to complement GMS curricula. All students are required to have a laptop computer that meets CAMED standards."
GMS,GMS AN 723: Human Body System,This course is designed for entering graduate students who need an introduction to the basic organization of the various body systems. This is meant to be an entry-level course intended to provide the basic vocabulary and conceptual understanding for success in future medical gross anatomy course.
GMS,GMS AN 724: Advanced Neuroanatomy,"This course builds on the foundation in neuroanatomy obtained in departmental neuroscience courses by examining the structure of the human central nervous system in greater detail. Discussions center around readings in advanced neuroanatomy textbooks such as The Human Central Nervous System: A Synopsis and Atlas by Rudolf Nieuwenhuys. 2cr, Spring sem."
GMS,GMS AN 725: Neuroanatomy,"Graduate Prerequisites: background in neurophysiology or consent of the instructor. This course covers the structure and function of the central and peripheral nervous systems. In addition to an in-depth discussion of the neuroanatomy, each topic has an applied component in which students investigate the impact of neuroanatomical structures and systems on function. Students are presented with case studies in the lab portion of the course, which reinforce the clinical application of the course material and provide students with the opportunity to synthesize and apply lecture content. Critical thinking and clinical problem solving are emphasized throughout the course. 4 cr., Fall sem."
GMS,GMS AN 726: Foundations of Histology,"This course focuses primarily on the histology (microscopic structure and function) of cells and tissues of the body. We incorporate some basic cell biology and physiology where necessary for a basic understanding of an organ system. Histology involves the application of skills based on visual learning. Students are exposed to a systematic analytical approach to tissue and organ identification, with an emphasis on structure and function relationship. Although we no longer use light microscopes and glass microscope slides, virtual microscopy (VM) nevertheless requires manipulative and visual interpretation skills. The course begins with detailed information about the four tissue types and then proceeds to how these tissues form the organs and organs systems of the human body. In addition, students learn new vocabulary that they will use in their futures studies. 4 cr., Spring sem."
GMS,GMS AN 727: Human Embryology,"This two-credit course will focus on the typical human development during the embryological period (first eight weeks) of prenatal development. In addition, time will be devoted to describing atypical development in organ systems and how this can impact function. The course will begin with two introductory lectures that describe the early formation of the embryo, describing important events such as gastrulation, body folding, and cell differentiation. Understanding the terminology and the rapid changes during early embryogenesis (first four weeks) is necessary for a basic understanding of development prior to beginning organ system development. Students will be exposed to a systematic and analytical approach as to how undifferentiated cells development into functional cells that form tissues and organ systems through an anatomical and physiological lens. The course will be coordinated with Human Gross Anatomy allowing students to recognize how the early formation of cells, tissues, and organ systems relates to the definitive/adult structure."
