college,title,description
HUB,HUB CC 107: Cocurricular: Thriving Together: Student Wellbeing at BU,"Students will explore what wellbeing looks like in their own lives through seven dimensions: physical, emotional, spiritual, intellectual, financial, environmental, and social. Students will have the opportunity to become acquainted with existing campus resources and incorporate life skills that contribute to their thriving. Working in teams, students will examine wellbeing concepts and design a project that culminates in a proposal for a wellbeing initiative. Effective Summer 2023, this Hub cocurricular fulfills a single unit in the following BU Hub area: Teamwork/Collaboration."
HUB,HUB CC 108: Cocurricular: The Wellbeing Advantage: Developing Leadership Skills through Wellbeing,"Cultivating leadership skills is an asset in today’s workplace. In this cocurricular, students will explore how to be an effective leader through the cultivation of wellbeing.  Students will learn how to manage the demands of leadership by developing skills and strategies that they can use to promote their own wellbeing and simultaneously cultivate a culture of wellness on teams and within organizations for greater success. Effective Spring 2024, this Hub cocurricular fulfills a single requirement in the following BU Hub area: Teamwork/Collaboration."
HUB,HUB CC 120: Cocurricular: Vocation,"This cocurricular experience focuses on vocation, calling, spiritual living, and purposeful existence, allowing students to analyze this dimension of experience that so substantially informs various religious and secular worldviews and beliefs. Students will participate in a variety of religious and other communities at Boston University and assess the relevance of vocation to these groups. Effective Fall 2018, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 123: Cocurricular: How Very Queer: Who Am I Really?!,"Students analyze conceptions of gender, sexuality, and culture, reflecting on their own beliefs as well as societal, cultural, and familial perceptions and behaviors. Students engage in respectful collaboration while exploring their views of the GLBTQ community, first at a global and national level, and then within the context of Boston and Boston University. Students explore the history of the GLBTQ community and research local community resources to develop a deeper understanding of the community and themselves. Effective Spring 2020, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 125: Cocurricular: Global House: Building Diverse Communities,"Undergraduate Prerequisites: Completion of a 112-level language course (minimum) or the equivalent proficiency level in one of the Global House languages. Undergraduate Corequisites: Residence in Global House is preferred. - Students create an intentional community with other students interested in other cultures and languages and collectively navigate the diversity of communities in our world. Students learn teamwork, mutual responsibility, and how to collaborate on cultural activities while practicing respectful interaction with people of many backgrounds. To be eligible, students must be an approved residential or non-residential member of Global House. Effective Fall 2023, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 127: Cocurricular: How to BU,"This Hub cocurricular is designed especially for first-year students. It focuses on the habits and skills that foster happiness, wellbeing, and belonging in college, and it introduces students to educational opportunities that can enrich their time at BU. With their peers, students will reflect on their lived experiences at BU, including their time in classrooms, residences, dining halls, and social spaces. Effective Fall 2023, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 128: Cocurricular: Belonging on Campus,"Students explore the social and cultural factors, as well as the personal and communal practices, which contribute to or impede students' sense of belonging at college. In particular, this cocurricular experience focuses on the student experience of belonging at Boston University. Students draw upon secondary sources, first-person testimonies, observation, and personal experience to consider the ways in which beliefs, systems, and practices foster or prevent a sense of belonging. They also examine their role in creating a sense of belonging for themselves and others. Effective Summer 2020, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 130: Cocurricular: Life's Big Questions: Exploring Jewish Identities in Community,"Students deepen their understanding of Judaism's diversity through exploration of Jewish civilization. Students build community on campus and in Boston, engaging with people from diverse backgrounds whose ideas about Judaism may differ. Students participate in discussions, attend BU and community events, engage with readings about Jewish community and identity, and create a reflective ePortfolio. To be eligible, students must be enrolled in the BU Hillel Cohort Learning Class. Effective Fall 2019, this Hub cocurricular fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,HUB CC 131: Cocurricular: The North End as Idea and Experience,"Through exploration of the geography, history, and social patterns of Boston’s North End, students analyze the relationship between individual, place, and community. Specific topics to be covered include immigration, ethnicity, tourism, gentrification, religion, health care, community organization, food, crime, and social policy. To facilitate this exploration, students will learn to use historical and archival methods as well as observation and interactive techniques. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community."
HUB,"HUB CC 133: Cocurricular: The Individual, Community, and the Arts","Students explore the role of the arts in their personal lives, at BU, and in the Boston area, and how the arts contribute to personal and community development. Students engage with approved arts events both on and off campus exploring identity and community; explore a variety of readings on personal, local, and national arts issues; engage in dialogue on the value and role of the arts personally and in the BU and broader community; and reflect on their own growth and exploration in the arts. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: The Individual in Community."
