college,title,description
MET,GMS BT 104: Medical Terminology 1,"Understanding medical terminology is fundamental for anyone working in the sciences. It is the language of the technician or researcher involved in biotechnology, biomedical investigations, or clinical research. Students learn the analysis and construction of medical words within a context of scientific concepts. After the basics, students learn the anatomy and diseases of the following systems: male and female reproductive, cardiovascular, respiratory, and blood. Technology fee applies to online section only."
MET,GMS BT 201: Anatomy and Physiology 1,"Undergraduate Prerequisites: One semester of biology - Prereq: One semester of biology. This course provides a practical understanding of anatomic structures and coordinates this knowledge with the various functions of the human body. Also explored are regulatory processes that integrate cells, tissues, organs and systems. Topics include: organization of the body, tissue development, cellular structure and function as well as the integumentary (skin), skeletal, and muscular systems. The last third of the course focuses on the nervous system. The course incorporates clinical material throughout."
MET,GMS BT 205: Scientific Writing and Communication,"This course will provide students with training in fundamental writing mechanics, basic scientific writing, and oral presentations. The class will help to develop the ability to communicate science effectively in a variety of contexts, including how to present science to non-expert audiences. The course will be taught in two parts: Part-1: Will teach and reiterate fundamental writing skills that students need to master in order to write clearly, concisely, and effectively; Part-2: Will contain a number of writing and presentation exercises that prepare students to write a full-length report of a scientific study. Examples of class topics include: Defining what is good writing; Writing basics--punctuation, grammar, parallelism; Paragraphs, logic flow and organization; Dissecting a scientific abstract, etc."
MET,GMS BT 301: Introduction to Biomedical Research Laboratory Techniques,"Prereq: GMS BT110 and GMS BT208. This course will focus on the fundamental laboratory skills that students need to prepare for a career in the biomedical sciences. The course emphasizes the theoretical as well as the applied aspects of basic methodologies in research. The course is reinforced with applied, hands-on laboratory sessions that provides practical experience in the topics covered in the preceding lectures. The majority of class time will be designed to provide students with ample hands-on time in the lab to practice their skills in the presence of the course instructor. The course will focus on providing students with a set of basic laboratory skills, such as safety practices, laboratory mathematics, documentation, and good laboratory ethics. Students will also be educated in research methodology, data analysis, and data presentation. Topics covered include solution chemistry; protein extraction and detection using Western blot and ELISA; the basic principles of immunohistochemistry; cell culture basics, and RNA extraction. Students, even those with some previous laboratory hands-on experience, will benefit from this course because of its combined focus on the theoretical and applied aspects of laboratory techniques/methods. The proposed topics of study would include: Introduction to Proteins Protein Detection Methods; Gene Expression; Principles of Immunohistochemistry and Protein Colonization; Microscopy and Imaging, etc."
MET,GMS BT 405: Biochemistry,"Undergraduate Prerequisites: One semester of biology, two semesters of chemistry. - Prereq: Satisfactory completion of 1 semester of college biology with lab, 2 semesters of college chemistry with lab, and GMS BT342. This course introduces students to the fundamental biochemical principles that underlie cell function. Topics include the structure and function of biomolecules, including proteins, lipids, carbohydrates and nucleic acids, as well as the metabolic pathways involved in their synthesis and degradation. Emphasis is given to metabolic regulation and mechanisms of enzyme action."
MET,GMS BT 520: Biology of Cancer,"Undergraduate Prerequisites: (GMSBT413) or equivalent or consent of instructor. - Prereq: BT 405 (Biochem) and BT 413 (Mol Bio) or consent of program director. This course focuses on the cellular and molecular changes that underlie the development and progression of human cancer. Students examine the pathways and processes that involve oncogenes and tumor suppressor genes to understand how they can contribute to cancer. Complex interactions including angiogenesis, tumor immunology, invasion and metastasis are studied as well. In addition,the course covers targeted approaches to cancer therapy and the latest scientific research including cancer epigenetics, microRNAs and cancer stem cells."
MET,GMS BT 540: Regulatory and Compliance Issues,"Clinical research is conducted to meet the needs of the intended patient population with an investigational medical intervention. But a favorable medical outcome is not the only criterion that is used to judge whether a product can be marketed. Clinical research needs to meet the rigorous standards of the regulators, the ethicists, and the auditors. This course reviews the laws that are in place that are designed to guide the complexities of clinical research. We will use case studies to illustrate what can really happen when clinical studies are conducted -- you may be surprised with what you find. Using group activities and exercises, we will explore the options and approaches used to manage these clinical research issues. 4 cr."
MET,GMS BT 560: Good Clinical Practices (GCP) in Clinical Research,"This course introduces the international standards for ethical conduct of research and maintaining the highest level of scientific quality when conducting clinical trials. Topics include the regulatory responsibilities of sponsors, monitors, and investigators conducting clinical trials; the phases of clinical trials leading up to FDA approval of a new drug or device; and how to get a trial up and running including the selection of qualified investigators, obtaining approval to conduct the study from an ethics committee, and completing the regulatory documentation that is required for getting a site ready to enroll patients. The course also covers ensuring data integrity, handling ethical dilemmas, and reporting of serious adverse events. Case studies, review of current media, and exercises will be used to practice the application of information provided in class and to demonstrate GCP compliance from an industry perspective. Group discussions, individual and group projects, and guest speakers help students learn the practical skills used in the field."
MET,GMS BT 594: Clinical Research Practicum,Undergraduate Prerequisites: 16 credits in clinical research and permission of Director. - for Fall and Summer 1 semesters. Prereq: 16 credits in clinical research. Directed study offering direct experience with the conduct of a clinical trial. Student will work on a supervised project within an approved clinical research site. For matriculated students only; register via the program director.
MET,GMS BT 595: Clinical Research Practicum,Graduate Prerequisites: 16 credits in clinical research and permission of Director. - for Spring and Summer 2 semesters. Prereq: 16 credits in clinical research. Directed study offering direct experience with the conduct of a clinical trial. Student will work on a supervised project within an approved clinical research site. For matriculated students only; register via the program director.
MET,GMS BT 596: RESEARCH PRACT,RESEARCH PRACT
MET,GMS BT 597: RESEARCH PRACT,RESEARCH PRACT
MET,MET AD 508: AD Internship 1,"This course provides graduate students, who seek practical applications in their related field of study, with the opportunity to seek internships. Students enrolled in the course will be individually supervised by a faculty member from the Department of Administrative Sciences. The course may not be taken until the student has completed at least six courses towards their master's program. Graduate standing in the MET MS Management programs is required. The internship credits cannot be applied toward the MS degree program."
MET,MET AD 510: Mathematics & Statistics in Management,The goal of this course is to introduce to students foundational mathematics and statistics knowledge that will provide them skills and tools necessary to succeed in their area of study.
MET,MET AD 528: Blockchain Finance,"Cryptocurrencies and the underlying distributed ledger technology (blockchain), have exploded into public consciousness over the last few years, with many industry practitioners arguing that the blockchain technology has the potential to disrupt business and financial services in the way the Internet disrupted off-line commerce. This course covers digital currencies, blockchains, and related topics in the FinTech area using the analytical tools provided by economics, investments and corporate finance."
MET,MET AD 540: Project Management for the Built Environment and Infrastructure Development,"Co-Requisite: PMB-100 Lab. - This foundational course provides a comprehensive look at the Construction 4.0 paradigm, the design, development, construction, management, and operation of built environment assets. It emphasizes the synergy between the digital aspects, like Building Information Models (BIM) and Common Data Environment (CDE), with infrastructure and the physical aspects of assets, leveraging cyber-physical systems, IoT, AI, data, and services. The curriculum is built around two main pillars: adopting advanced technologies and integrating project and process enablers and lean principles. This approach ensures efficient asset lifecycle management and prepares students for the technological and procedural advancements in the construction industry. This course will align with the goals of PMI’s Construction Professional in Built Environment Projects (PMI-CP™) credential."
MET,MET AD 561: Financial Analytics,"This course presents financial algorithms used in applications of computer science in financial decision analysis, risk management, data mining and market analysis, and other modern business processes. The course covers theoretical background on probabilistic methods used for financial decision making and their application in number of fields such as financial modeling, venture capital decision making, operational risk measurement and investment science. Number of financial applications and algorithms are being presented for portfolio risk analysis, modeling real options, venture capital decision making, etc. The course concludes with algorithms for financial risk assessment and presents the security concepts and challenges of financial information systems."
MET,MET AD 571: Business Analytics Foundations,Prereq: AD100 Pre-Analytics Laboratory and ADR100 Introduction to R
MET,MET AD 575: Digital Brand Management,"Explore the dynamics of building and managing digital brands in today's technology-driven digital marketplace and delve into the nuances of digital customer needs, brand creation, and communication strategies. Students will engage with concepts such as brand equity, digital design principles, neuroscience influences on branding, and compelling social media storytelling. Additional insights into personal and diverse forms of branding and future trends and challenges in the digital branding landscape are also covered. This course equips students with critical skills for developing strong brand identities and managing brand reputation across business models, preparing them for success in various digital branding roles."
MET,MET AD 576: Social Media Marketing,"This course is designed to help you understand how marketing has (and has not) changed due to the rise of social media and changes in various underlying contextual factors, such as dramatically increased speed of information dissemination across consumers and brands. The overarching goal is to obtain a clear perspective on digital/social/mobile marketing so that you can appreciate its true value to consumers, to managers, and to other corporate stakeholders. It will equip you with the relevant knowledge, perspectives, and practical skills required to develop marketing strategies that leverage the opportunities inherent in social media and consumer-to-consumer social interactions for achieving business and marketing goals."
MET,MET AD 577: AI Enabled Marketing,"This course offers an in-depth exploration of artificial intelligence (AI) applications within modern marketing strategies applied to a dynamic and data-driven marketing environment. It enables students to master AI tools and techniques such as Google Cloud, Tensorflow, IBM Watson, and HubSpot, essential for enhancing customer segmentation, content customization, and overall marketing efficiencies. Students will learn to develop AI-driven chatbots, optimize user experiences, and automate complex marketing processes, preparing them to meet contemporary digital marketing challenges and opportunities effectively."
MET,"MET AD 580: Environmental, Social, and Governance (ESG) Investments","Prerequisites: MET AD 717 or consent of instructor.- A comprehensive investments course introducing important aspects of investing, including environmental, social, and governance issues, and their role in corporate risk management, financial markets, and investments, presented from the viewpoint of market participants and corporate leadership. The course incorporates the mechanics of investing sustainably, with long-term planning on a micro and macro level. Topics will include an introduction and understanding of the ESG market, defining the environmental, social, and governance factors important for investment decision-making, and the importance of corporate engagement and stewardship. The course will also cover ESG analysis, valuation, and integration in portfolio management."
MET,MET AD 581: Energy Transition: Markets and Regulation,"The goal of the course is to give the student a clear, practical understanding of significant pieces of the energy ""puzzle"" as a guide to understanding how energy is produced and consumed -- as market forces dictate - both in the United States and abroad. Students considering this course can have various backgrounds/knowledge of energy, but most importantly, an interest in understanding the transitions needed to achieve climate-related goals. The student will be challenged to explore energy transition opportunities and decarbonization's imperative through finance, policy, markets, and regulation."
MET,MET AD 587: Interdisciplinary Methods for Quantitative Finance,"This course expands upon the foundations of finance theory with interdisciplinary approaches from statistical physics and machine learning. The course equips the students with the Python tools to tackle a broad range of problems in quantitative financial analysis and combines the study of relevant financial concepts with computational implementations. Students will learn to use packages like Numpy, Pandas, Statsmodels and Scikit, which are commonly used in research and in the industry. Prerequisites: MET AD 685 or PY 355 or equivalent or consent by the instructor."
