college,title,description
SAR,SAR HP 150: First-Year Sargent Seminar,This course is designed to facilitate successful integration into Sargent College for first-year students. Resources and guidelines will be made available to aid first-year students in making informed academic decisions while clarifying and enhancing the students' experiences with the Boston University community. Interaction with faculty and student leaders is provided.
SAR,SAR HP 151: Introduction to Health Professions,"Through readings, discussion and written work, we explore the functions of the health and rehabilitation disciplines. An introduction to the health care system and social impact of health and disability is also considered especially with respect to allocation of resources to improve outcomes. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication."
SAR,SAR HP 220: Occupation and Health,"Exploration of the factors that influence how people spend their time, including their choice of activity and their ability to perform important and meaningful activities, and of the impact of these occupations on health and well-being across the life course."
SAR,SAR HP 250: Introduction to Critical Inquiry in Behavior and Health,"This course provides foundation skills in effective and efficient search of information resources relevant to the study of behavior and health, including on-line databases (e.g., PubMed, PsychInfo, CINAHL, NARIC), government sites, and other web sources. Students will learn basic skills to critically evaluate these information sources and to evaluate published research using quantitative and qualitative methods as needed to write a research-based paper. Effective Fall 2023, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy."
SAR,SAR HP 252: Health and Disability Across the Lifespan,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - Overview of health development across the lifespan followed by an examination of common conditions that typically begin in certain stages. Each condition will be examined for its individual, group and systemic impacts. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Writing-Intensive Course."
SAR,SAR HP 306: Foundations of Health Promotion,"This course provides students with an introduction to the principles of health promotion and an overview of strategies used to promote health at both the individual and population levels. The course will develop students' understanding of public health principles, health promotion and human behavior change models, as well as social determinants of health, and will explore how interactions among these factors impact health interventions and outcomes. Students will learn about methods to identify and assess the health needs of individuals across various contexts (health care facilities, schools, worksites, and communities); factors to consider when planning interventions tailored to the unique needs of specific populations (i.e. individuals with disabilities, male adolescents and young men, and communities of color); current evidence-based strategies to improve health outcomes and reduce the prevalence of chronic disease; and the effectiveness of select health promotion programs and strategies aimed at helping people make lasting healthy choices wherever they live, learn, work, and play. Effective Fall 2019, this course fulfills a single unit in the following BU Hub areas: Digital/Multimedia Expression, Teamwork/Collaboration. Effective Fall 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Teamwork/Collaboration, Creativity/Innovation."
SAR,SAR HP 321: Health Conditions Across the Life-course,"Undergraduate Prerequisites: CAS BI105 or equivalent - Overview of medical and psychosocial aspects of selected chronic diseases, with a particular focus on the impact of the disease and its management on the person's daily life."
SAR,SAR HP 353: Organization and Delivery of Health Care in the U.S.,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120) - The focus of this interdisciplinary course is on increasing the student's understanding of the health care system, the social, environmental, and behavioral factors that affect health care, and on increasing the student's ability to work in interdisciplinary teams. The student will actively engage in individual work, group discussion and teamwork through written, oral, and web site assignments. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Writing-Intensive Course."
SAR,SAR HP 405: Practicum and Seminar in Behavior and Health,Undergraduate Prerequisites: Senior concentrators in Behavior and Health program only. ; Undergraduate Corequisites: SAR HP250 - Practical experience in a health or social service related setting related to the student's specialization area. Includes participation in weekly seminar.
SAR,SAR HP 412: Psychopathology and Rehabilitation,"Survey of theory, research, and therapeutic interventions related to the rehabilitation of persons with psychiatric disabilities. Presents an overview of maladaptive problems in living from personal, biological, social, and environmental perspectives. Emphasizes issues of special relevance to health and rehabilitation professionals. 4 credits, 1st semester"
