college,title,description
SDM,SDM EN 521: Endodontics,"This lecture course provides the dental student with a clear understanding of the biological foundations of pulpal and periapical disease. The causes and progression of these problems are discussed. Diagnostic, therapeutic, preventative, and follow-up modalities are introduced."
SDM,SDM EN 521A: Endodontics,"This lecture course provides the dental student with a clear understanding of the biological foundations of pulpal and periapical disease. The causes and progression of these problems are discussed. Diagnostic, therapeutic, preventative, and follow-up modalities are introduced."
SDM,SDM EN 522: Preclinical Endodontics,This simulated clinic course provides experience and skill development in the clinical therapeutic techniques being presented in the lecture course. Both extracted and artificial teeth mounted in simulated mannequin patients are utilized to prepare students for direct patient endodontic care.
SDM,SDM EN 522A: Preclinical Endodontics,This simulated clinic course provides experience and skill development in the clinical therapeutic techniques being presented in the lecture course. Both extracted and artificial teeth mounted in simulated mannequin patients are utilized to prepare students for direct patient endodontic care.
SDM,SDM EN 640: Clinical Endodontics,"Didactic seminar and clinical patient experiences consist of the diagnosis and treatment of pulpal and periapical dental pathology requiring endodontic intervention. Specific focus of this course is on case selection, emergency endodontic therapy, specialty referral, non-surgical endodontic therapy, direct observation of clinical endodontic procedures in the predoctoral and postdoctoral setting, in addition to preparation for the endodontic component of clinical licensure exams."
SDM,SDM EN 640A: Clinical Endodontics,"Didactic seminar and clinical patient experiences consist of the diagnosis and treatment of pulpal and periapical dental pathology requiring endodontic intervention. Specific focus of this course is on case selection, emergency endodontic therapy, specialty referral, non-surgical endodontic therapy, direct observation of clinical endodontic procedures in the predoctoral and postdoctoral setting, in addition to preparation for the endodontic component of clinical licensure exams."
SDM,SDM EN 803: Endodontics 3: Preclinical Endodontics,Prerequisite for the clinical program. Participation in endodontic procedures performed on extracted teeth where the resident gains the clinical skills and the scientific knowledge necessary to treat patients. Lectures and clinical demonstrations by the endodontic faculty cover an extensive range of clinical procedures. 1st sem.
SDM,SDM EN 804: Endodontics 4: Current Concepts in Endodontics,"Series of lectures presented to the residents enrolled in the Postdoctoral Program in Endodontics The intention of this course is to expose the resident to the most current information pertaining to such topics as: histology and physiology of the pulpodentinal complex, diagnosis and classification of endodontic pathoses, management of endodontic emergencies including traumatic injuries to the dentition, and fascial space infections of odontogenic origin. 1st and 2nd sem."
SDM,SDM EN 805: Endodontics 5: Topical Literature,"A series of 27 seminars based on intensive and comprehensive readings in the literature of endodontics covering all facets pertaining to the science and practice of endodontics. 1st, 2nd, 3rd and 4th sem."
SDM,SDM EN 806: Endodontics 6: Topical Literature,"A series of 27 seminars based on intensive and comprehensive readings in the literature of endodontics covering all facets pertaining to the science and practice of endodontics. 1st, 2nd, 3rd and 4th sem."
SDM,SDM EN 808: Biological Aspects in Endodontics,"This course will provide a basis for understanding tooth embryology and the biological processes at the cellular and molecular levels. In addition, the course will bridge the basics of Endodontic biology with the innovations in devices, materials and skills, providing vivid examples of evidence-based Endodontics."
SDM,SDM EN 811: Seminar: Endodontic Diagnosis and Treatment Planning,"Develops logical approaches to endodontic diagnosis and treatment planning procedures. Includes discussion of a wide range of endodontic problems not usually encountered in clinical courses. 1st, 2nd, 3rd, and 4th sem."
SDM,SDM EN 814: Restoration of Endodontically Involved Teeth,Presentation of rationale and operative procedures best employed in restoring endodontically treated teeth and in using them as long-term abutments for prosthetic appliances. 1st sem.
SDM,SDM EN 815: Surgical Endodontics,Comprehensive series of lectures and laboratory exercises designed to provide the resident with the knowledge and technical skills to perform proficiently surgical endodontic procedures. The most current techniques and state-of-the-art instruments and materials available for endodontic surgery are discussed and used in the laboratory exercises.
SDM,SDM EN 819: Endodontics for Prosthodontists,Endodontics course for prosthodontists.
SDM,SDM EN 820: Endodontics for the General Practitioner,Series of lectures and hands on sessions presented to the students enrolled in the advanced education program in general dentistry (AEGD) and the students enrolled in Post Graduate Operative and Esthetic Program (PGOE). Topics include: histology and physiology of the pulpodentinal complex; diagnostic procedures in the practice of endodontics; classification of pulpal and periradicular pathoses; management of endodontic emergencies; management of traumatic injuries to the dentition; lectures and hands-on focusing on the preparation and obturation of the root canal system; 1st sem.
