college,title,description
SHA,SHA HF 100: Introduction to Hospitality,"This introductory course is open to all BU students and is the prerequisite for School of Hospitality courses. Students gain an historical perspective and identify current events and trends in lodging, restaurants and event management. It provides an overview of the global hospitality/tourism industry including the critical elements of managing services. The Boston market, multimedia assignments and team-based projects are integrated into the learning environment. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Digital/Multimedia Expression, Teamwork/Collaboration. 4 cr. Offered in the Fall and Spring."
SHA,SHA HF 140: Hospitality Field Experience I,"400 hours of supervised internship experience. Students are required to have their HF140 activities pre-approved by SHA Career Services prior to completing work/activities. 0 cr., Offered Fall & Spring."
SHA,SHA HF 150: Experience Management,"Central to the hospitality industry is the provision of memorable, high-quality customer experiences across digital and physical touchpoints. This allows hospitality and other service organizations to turn satisfied customers into brand evangelists. This course introduces the emerging domain of customer experience management (CEM)--the discipline of understanding and managing customer interactions with the organization to improve satisfaction, loyalty, and advocacy. CEM is a unique domain that draws on practices from the fields of marketing, marketing research, technology and data science, and operations and service science, with the aim of understanding and improving customer experiences with the organization. The course will cover the definitions and basic requirements of customer experience management, and also provide detailed frameworks and tools and techniques to allow students to gain proficiency in the language and practice of customer experience design and improvement. Effective Fall 2023, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Social Inquiry II, Creativity/Innovation."
SHA,SHA HF 210: Financial Accounting for the Hospitality Industry,"Undergraduate Prerequisites: SHA HF 100, CAS MA 119 - An introductory course in Accounting designed to provide students with a basic understanding of the language of business. This course examines the basic accounting processes of recording, classifying, and summarizing business transactions. It also provides an opportunity to study elements of financial statements such as assets, liabilities, equity, revenue, and expenses. 4 credits, offered Fall & Spring."
SHA,SHA HF 220: Food & Beverage Management,"Undergraduate Prerequisites: SHA HF 100 ; Undergraduate Corequisites: SHA HF 260. Note: Students must take SHA HF 220 and HF 260 concurrentl y in the same section(e.g. A1/A1). Contact your academic advisor with any questions. - This courses focuses on principal operating problems facing managers in the restaurant industry. Topics such as concept development and entrepreneurship, menu analysis, cost control, operational analysis, and customer service processes are addressed. 4 credits, offered Fall & Spring."
SHA,SHA HF 222: Hospitality Revenue Management,"This course provides an advanced overview of the revenue management function in hotels. Revenue management is an integrated approach to maximizing revenue that includes capacity analysis, demand forecasting, variable pricing, and distribution technology."
SHA,SHA HF 231: Talent and People Strategies,"Undergraduate Prerequisites: SHA HF 100 - This course provides an introduction to the theory and practice of human resource management, especially for consumer services such as hotels, restaurants, tourism and events. Explores contemporary human resource management relative to the hospitality industry, with emphasis on planning, job analysis, recruitment, selection, hiring, placement, and ethnic diversity in the workplace. Specifically, the course examines employee motivation, leadership, training, team building, employee performance and retention. Management philosophies of work compensation, discipline, and labor relations are discussed as they affect current hospitality industry strategies to attract and retain a quality workforce. Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. 4 credits. Offered Fall & Spring."
SHA,SHA HF 240: Hospitality Field Experience II,"Undergraduate Prerequisites: SHA HF 100 and SHA HF 140 - 400 hours of supervised internship experience. Students are required to have their HF240 activities pre-approved by SHA Career Services prior to completing work/activities 0 credits, Offered Fall & Spring."
SHA,SHA HF 250: Hospitality Law,"Undergraduate Prerequisites: SHA HF 100 - A look at the laws that apply to hotels, food-service establishments, and the travel industry. Consideration of innkeepers' duties to guests. Concepts of liability and negligence, contract and property practices, and miscellaneous statutes applicable to the hospitality industry. 2 credits, offered Fall & Spring."
SHA,SHA HF 260: Introduction to Hospitality Marketing,"Undergraduate Prerequisites: SHA HF 100 ; Undergraduate Corequisites: SHA HF 220. Note: Students must take SHA HF 220 and HF 260 concurrentl y in the same section(e.g. A1/A1). Contact your academic advisor with any questions. - This course provides an understanding of the role & function of marketing in the hospitality industry. It offers an overview of generic principles of marketing for any industry (including consumer products & manufacturing) and introduces specialized principles for the hospitality industry. For all topics, it uses examples taken primarily from the hospitality industry. Subjects covered include marketing strategy, marketing research, consumer behavior, segmentation, positioning, product and concept development, pricing, distribution, & marketing communications (including advertising & PR). Effective Fall 2018, this course fulfills a single unit in the following BU Hub area: Global Citizenship and Intercultural Literacy. 4 cr. Offered Fall and Spring."
