college,title,description
STH,STH DM 901: Transformational Leadership,"This course explores diverse perspectives and practices of religious leadership and community transformation, drawing upon recent research and literature in dialogue with participants' experiences as community leaders. Students will explore their personal leadership strengths and goals, theological perspectives and social science findings as regards leadership and transformation, and the insights of living communities. The purpose is to engage with critical issues and to construct new approaches to leadership that can contribute to thriving and society-serving communities."
STH,STH DM 902: Contextual Analysis and Transformational Leadership,This course aims to provide students with theories and practices of leadership and ethics that will assist them in coming into a sense of who they are as transformational leaders and to prepare them for the multiple contexts in which they will lead. Students will have a growing sense of their public role in respect to religious and faith-based communities and to religion as it operates in a variety of contexts.
STH,STH DM 903: DMin Research Methods Seminar,RESEARCH METHDS
STH,STH DM 904: DMin Project Colloquium,DMIN PROJ COLLQ
STH,STH MR 703: PBLC TH MN LEAD,PBLC TH MN LEAD
STH,STH MR 704: Religion and Public Engagement through the Arts,"Because the arts are fundamental to religious expression and are a principal interface between religious communities and the public, this course provides competencies in a wide range of subjects needed for leadership in this field. Primary competencies include an overview of the history of Christian art and architecture in global context; engagement with several methodological frameworks for self-expression and criticism (including aesthetics, semiotics, the creative process, and theopoetics); and foundational skills in the field of arts administration."
STH,STH MR 706: Congregations and Communities,"The increasingly global work of ministry, social activism, and non-profit service often takes place within or alongside religious congregations. Such congregations often serve as local communities, and they are embedded within larger communities such as neighborhoods, ethnic groups, political blocs, and countries. The purpose of this course is to help students understand the significance of religious ""community"" and its role in society, using both sociological and theological resources. We will then focus on pressing issues within U.S. congregational life, including race, class, and gender divides; spiritual pluralism and individualism; and the polarization and decline of Christian organizations."
STH,STH MR 707: The New Testament in Crises: Reading Biblical Texts Amid Contemporary Global Crises,"The Bible is everywhere. The Bible enters political debates through references to biblical authority; it is present in the Museums via artistic references to religious motifs; it informs the so-called cultural wars on sexuality, abortion, reparations, migration, climate change or wealth distribution; it is read weekly by local religious communities across the Globe. Politicians, pastors, activists, artists, writers, and thinkers reach into the biblical past to think about the political, cultural, and social present and the future. The purpose of this course is to explore the ways New Testament texts pervade contemporary debates about contemporary topics, paying attention to how these debates show up in public scholarship."
STH,STH MR 709: The Social Gospel,"This course examines the impact of the theological movement commonly called, the social gospel. Emerging out of the historical context of the late 19th century, the social gospel played a major role in shaping numerous movements of religious-based social activism in the 20th century. In addition to reading important theological voices from this tradition, the course will enable students to examine the social gospel's ongoing influence upon 21st century religious movements. The course will also allow students to engage how the social gospel's legacy can contribute to models of religious leadership today. (Cluster 1 & 2)"
STH,STH MR 711: Disability and Ministry in the Public Square,"This course is about developing leadership skills and practical wisdom that facilitates the welcoming and affirming of people with disabilities into the public square. Jürgen Habermas defines the public sphere as, ""By 'public sphere' we mean first a domain of our social life in which such a thing as public opinion can be formed."" This course looks at how that public opinion has been formed in terms of disability by examining disability from the vantage point of the three publics originally outlined by Catholic theologian David Tracy: the academy, church, and the public square.

Disability in this course includes everyone covered by the Americans with Disabilities Act (ADA). Discussions and course work will also include hidden disabilities and embodied vulnerability that everyone experiences. This broad focus on disability establishes its relevance and connection to all of us. First, we will focus on the academy and on how to be a theologian and leader who focuses on disability. In this course, we turn our attention to the practice of doing theology as a liberatory praxis to develop an understanding of how disability operates in our culture, and to build practical wisdom and leadership skills to combat ableism. The aim of this course is to help students develop transformative proposals for the church and society. In this exploration, we will pay careful attention to the central themes of disability, namely embodiment and marginalization."
STH,STH MR 713: Ministry and Leadership in Interfaith Contexts,"This course offers an entry point into the emerging field of Interfaith Leadership. It will provide students with an analysis of the power and potential of interfaith leadership in justice work, community building, and personal spiritual maturation. It includes the study and interpretation of historic and contemporary examples of interfaith leadership primarily in the United States, requires students to hone an articulation of their own faith-based motivations for interfaith engagement, and teaches best practices for engagement across differing belief systems. Students will engage in interfaith dialogue as part of their course work. Upon completion of the course, students will have increased their ability to engage in interfaith settings, understand how interfaith leadership differs from intra-faith leadership, and be clear on their individual points of tension in interfaith leadership settings, as well as those of their faith tradition. The course understands interfaith engagement to be inclusive of all people drawn to interfaith efforts including those who do not claim membership or affiliation with a religious tradition."
STH,STH TA 715: Organ Seminar,"Intended for organ majors, but open to others, this course covers repertoire, organ building and maintenance, technique, performance practice, and keyboard skills (sight-reading, score-reading, transposition, harmonization, improvisation and continuo). This is a two semester course. MSM organ majors must enroll in both semesters. (Cluster 3)"
STH,STH TA 721: Seminary Singers,"Open to all students who are interested in singing. Participation in one weekly rehearsal and chapel service, including any special concerts/events/tours that may come up during the semester. Please note: students who are employed by the Seminary Singers may not take the course for credit (Cluster 3)"
